Average RunTime,RandomWalkLength,RandomWalkStart,Improvement
324981,34,7,first
306673,8,17,best
336795,11,15,first
306329,1,23,best
400000,25,1,first
384085,37,6,first
320528,13,13,first
352969,39,7,best
370725,35,5,first
324636,20,13,best
320800,19,9,first
354198,40,7,best
336410,33,8,best
321799,1,22,best
323974,36,6,first
372142,39,4,first
321452,12,12,first
309241,16,10,best
321205,2,18,first
321964,18,16,best
322121,13,15,best
324325,31,9,best
352365,30,7,first
384499,27,5,first
293497,4,19,best
323820,22,7,first
400000,29,1,best
307485,15,14,best
323077,1,21,first
323576,16,16,best
306801,12,16,first
323003,22,13,best
368671,35,6,best
323820,26,8,best
337596,19,16,best
306463,18,13,best
306067,11,12,first
306866,14,14,first
282482,11,14,first
368932,39,6,first
307134,14,16,first
322006,15,11,first
323521,24,8,best
325420,33,9,best
385846,40,5,first
321883,24,9,first
321415,12,10,first
323148,18,10,best
305694,14,12,best
307714,3,18,first
320761,14,10,first
353172,27,6,first
323481,17,13,best
320962,9,15,first
308841,30,9,best
322418,26,9,first
355400,38,5,first
322552,24,11,best
306060,4,18,best
320751,19,10,best
306871,10,15,first
321072,22,9,best
321569,15,16,best
320786,23,13,best
307865,12,15,first
321135,17,10,first
400000,38,3,first
292300,10,12,first
323213,17,11,first
400000,40,2,first
337396,29,9,first
352999,32,5,first
400000,35,3,first
294704,2,21,first
307390,6,17,first
307668,15,12,best
321259,21,13,best
400000,31,1,first
306376,20,11,first
306477,11,17,first
288671,12,13,first
321506,13,14,first
353446,32,7,best
306708,3,19,first
322603,16,11,first
324226,22,10,best
321994,2,20,best
400000,36,2,first
384124,39,5,first
337123,19,14,best
322611,15,13,first
400000,27,1,first
307537,16,13,first
320662,13,10,first
400000,32,4,first
339130,40,7,first
293260,13,17,best
323036,26,7,first
307003,25,13,best
323900,35,9,best
321594,25,11,best
280305,4,21,first
339522,35,7,best
308633,15,15,best
400000,29,1,first
321569,1,22,first
320861,13,16,first
354309,37,8,first
321418,1,24,best
312130,40,8,first
321528,12,17,best
400000,38,2,best
324856,2,23,best
353479,38,7,first
322351,16,15,best
322326,28,9,first
324942,22,11,first
322895,16,14,best
353204,37,7,best
291401,3,21,first
323340,24,6,first
320300,5,19,best
321293,7,21,best
322396,14,15,best
307610,1,23,first
321640,17,16,best
308089,18,15,best
320445,19,11,first
324197,37,9,best
322838,20,16,best
400000,39,1,best
322579,20,13,first
400000,40,1,first
339457,21,11,first
341601,33,9,first
372350,37,5,best
322608,1,25,best
322343,16,10,first
320771,13,15,first
305664,4,19,first
400000,36,1,first
323988,22,16,best
320592,5,21,best
278391,6,21,best
400000,34,2,first
308068,15,14,first
322070,31,9,first
308390,9,17,first
322679,25,16,best
321261,7,17,first
323158,22,15,best
321234,17,12,best
321472,10,17,first
305372,19,10,first
309283,16,16,first
293380,21,16,best
400000,38,4,first
306574,24,13,best
322987,15,10,first
320762,19,16,first
400000,33,3,first
323690,33,8,first
309004,24,11,first
291620,2,22,best
322196,21,10,best
400000,37,1,first
325167,24,10,best
313078,8,17,first
309754,1,20,first
338387,38,8,first
326236,38,9,best
321001,22,13,first
320726,14,12,first
320585,19,12,best
307831,16,12,best
320711,18,11,best
321985,27,13,best
323542,21,15,best
292470,9,21,best
321345,32,7,first
307236,6,18,best
324282,29,13,best
322867,20,15,best
323344,10,21,best
320637,32,13,best
321312,18,16,first
323472,30,13,best
336263,26,13,best
339867,30,6,first
321857,14,17,best
306355,21,13,first
324503,21,14,best
340822,36,9,best
320283,3,25,best
323173,2,20,first
322767,26,8,first
321217,26,11,best
369922,40,3,first
320936,13,12,first
322170,27,11,best
321162,18,13,first
307109,18,14,best
324662,27,9,first
321866,18,12,best
340960,40,9,best
320880,20,12,best
400000,38,2,first
307815,8,21,best
322932,24,8,first
339982,31,11,best
321755,15,17,best
307052,3,20,best
321878,33,11,best
322187,7,19,best
305833,2,25,best
340949,23,15,best
342608,30,9,first
337942,25,14,best
321963,15,16,first
307904,6,19,best
306964,24,16,best
322316,25,15,best
321227,4,20,best
276845,2,24,best
321097,30,10,best
353527,39,7,first
321802,25,10,best
322435,3,23,best
400000,39,1,first
307789,15,15,first
321014,18,15,first
321451,15,12,first
308615,3,22,best
291949,7,21,first
307560,17,13,first
339710,35,9,first
307156,12,21,best
338927,24,15,best
322946,9,19,best
336148,34,9,best
354722,35,6,first
305948,5,19,first
323632,27,16,best
307321,1,26,best
321147,23,13,first
322854,16,14,first
321851,19,14,first
321119,2,23,first
294091,7,18,best
321257,23,11,best
320885,26,10,best
308536,12,17,first
322172,16,17,best
303360,22,9,first
308630,6,21,first
308415,5,22,best
308262,28,13,best
321981,17,16,first
307774,4,25,best
337162,19,15,best
322471,24,13,first
321747,27,10,best
323103,16,15,first
325202,29,11,best
324563,26,14,best
323130,4,23,best
355430,38,9,first
368785,37,5,first
322157,19,12,first
322910,5,18,best
307732,29,16,best
341260,34,11,best
322326,18,10,first
292399,6,23,best
322903,26,15,best
322207,23,14,best
306299,1,24,first
277501,23,17,best
321929,29,15,best
307529,5,20,best
308724,28,16,best
320576,27,13,first
321444,20,15,first
307309,4,22,best
320589,13,17,first
321403,25,16,first
322214,24,14,best
339652,20,16,first
309476,26,16,best
321757,17,12,first
305627,4,18,first
307790,16,12,first
307781,6,18,first
323579,25,13,first
321459,20,10,best
338650,27,15,best
320655,35,11,best
339983,30,11,best
338643,22,10,first
323434,6,22,best
355158,33,13,best
320888,7,22,best
339532,22,15,first
307049,8,19,best
307630,1,25,first
323816,34,13,best
338590,36,13,best
339125,24,10,first
369190,37,7,first
277445,8,21,first
292655,9,22,best
324796,32,13,first
322321,28,10,best
306696,5,25,best
308534,29,13,first
306257,34,16,best
291744,4,20,first
325095,20,17,best
336926,25,14,first
323514,14,17,first
323436,2,25,first
306516,1,26,first
323608,40,9,first
400000,35,2,best
338627,29,10,best
339988,30,13,first
322147,23,15,first
321508,6,20,best
322945,21,16,first
322042,8,20,best
322850,26,11,first
320877,7,19,first
323351,25,15,first
323117,9,21,first
320424,26,12,best
323221,35,7,first
321338,19,13,best
321789,3,25,first
339375,40,13,best
354634,31,11,first
307166,10,19,best
337506,25,11,first
322981,22,16,first
323758,10,20,best
276479,2,24,first
338149,26,10,first
323209,3,23,first
323286,11,21,best
324528,36,9,first
322481,20,12,first
326452,37,9,first
308461,11,20,best
322228,30,10,first
306099,2,22,first
307353,30,15,best
336778,28,15,best
322442,22,12,best
321764,3,22,first
306291,26,15,first
322078,18,17,best
290860,9,20,best
354567,33,11,first
322574,32,9,best
291214,1,27,best
320986,4,25,first
322183,15,17,first
310339,19,17,best
305660,7,18,first
323716,12,21,first
320351,4,23,first
322881,26,14,first
293748,1,29,best
324987,25,10,first
321482,18,11,first
321336,21,14,first
321495,25,17,best
324498,37,11,best
325156,13,21,best
322231,23,12,best
310674,14,21,best
306733,28,13,first
308692,10,21,first
307184,9,19,first
322614,5,23,best
321629,5,21,first
323231,39,13,best
308727,17,14,best
325051,26,13,first
323393,18,12,first
307236,27,11,first
308236,24,16,first
324619,23,14,first
323491,14,15,first
322663,21,17,best
322663,33,10,best
305393,7,20,best
306893,26,17,best
325204,39,8,best
322655,19,15,first
324292,29,11,first
321952,39,9,best
336288,1,31,best
320648,37,16,best
276325,7,23,best
321093,9,18,best
321170,16,17,first
321357,8,25,best
292348,9,22,first
320681,6,23,first
322543,27,10,first
320714,8,22,best
322224,30,12,best
324003,32,10,best
322120,21,15,first
324741,11,18,best
337091,27,15,first
322667,31,16,best
324939,29,15,first
324440,34,9,first
323626,4,22,first
292074,2,26,best
322263,18,14,first
321878,10,18,best
310993,23,10,best
307282,27,17,best
307465,28,17,best
322252,1,28,best
339064,37,13,best
321447,5,20,first
322803,35,16,best
323912,21,10,first
278917,8,18,best
294029,7,22,first
323190,23,17,first
322431,29,16,first
292690,4,24,best
324100,3,20,first
307959,5,24,best
307995,2,27,best
322445,5,22,first
233459,6,24,best
321663,3,24,best
336786,33,15,best
339079,33,16,best
321586,12,19,best
339178,29,14,best
291692,8,19,first
320976,34,15,best
322142,6,22,first
322027,10,22,best
323574,36,15,best
322594,2,28,best
325224,36,13,first
323859,12,18,best
323130,24,12,best
322508,1,30,best
308983,24,17,best
322304,31,17,best
325378,28,16,first
323750,36,11,best
320881,31,10,best
320701,31,13,best
340981,13,20,best
323808,8,24,best
323917,12,20,best
322921,15,21,best
338184,39,11,best
307476,29,17,best
321194,34,11,first
339200,24,15,first
325248,32,15,best
324774,35,11,first
400000,35,2,first
292024,9,25,best
305000,11,22,best
324952,38,13,best
320652,5,25,first
321243,20,14,best
294129,10,20,first
322798,20,17,first
324839,37,11,first
338539,14,20,best
309686,11,25,best
323048,28,15,first
321272,36,16,best
306529,1,33,best
323823,30,11,first
320544,20,10,first
337371,1,32,best
354835,17,21,best
322614,27,16,first
323899,2,30,best
323436,8,23,best
354942,37,15,best
307796,6,19,first
308413,18,21,best
322162,6,20,first
340935,40,11,best
307200,7,25,best
307751,3,27,best
321115,34,16,first
294732,16,21,best
324311,32,12,best
310236,9,20,first
338531,26,17,first
321416,2,33,best
353783,34,10,best
321095,12,22,best
308165,28,14,best
308641,2,29,best
306296,28,11,best
306861,25,17,first
324275,23,16,best
324514,2,31,best
323800,3,33,best
337156,35,17,best
321424,6,25,best
336509,30,15,first
338418,11,20,first
320923,14,18,best
337433,32,11,best
322731,28,10,first
322463,19,17,first
309101,3,26,best
322072,17,15,best
310790,1,36,best
305807,1,31,first
338110,29,10,first
308238,15,20,best
336482,27,12,best
321003,8,18,first
321201,29,12,best
305892,33,13,first
323064,37,16,first
338412,40,13,first
323805,26,16,first
322748,23,11,first
325339,13,22,best
321733,18,17,first
295296,8,20,first
339045,1,29,first
356070,17,20,best
340912,14,21,first
309708,1,28,first
309683,7,20,first
321609,4,27,best
352340,36,10,best
323228,33,17,best
370230,36,15,first
321247,21,12,best
320170,24,14,first
322021,10,19,first
323410,33,10,first
322730,17,14,first
325833,39,9,first
311036,2,34,best
310471,32,14,best
309130,16,18,best
309479,1,35,best
337409,32,10,first
305867,11,23,best
321097,3,24,first
322637,30,16,best
339993,39,8,first
321705,16,19,best
322717,32,9,first
322920,17,17,best
323363,31,16,first
323015,23,10,first
321836,38,11,best
338964,15,21,first
275577,1,30,first
322478,35,16,first
294957,9,25,first
291912,2,36,best
308369,15,18,best
279077,1,27,first
308850,40,15,best
338091,13,25,best
321233,36,17,best
308901,27,17,first
321245,23,12,first
322061,10,23,best
320343,26,12,first
306985,3,28,best
339000,16,20,best
306983,5,18,first
308351,31,13,first
322822,40,10,best
322393,32,17,best
309132,8,22,first
355249,20,20,best
370341,31,14,best
323387,9,18,first
291566,11,18,first
309509,24,12,first
340774,2,28,first
322151,22,14,best
325211,1,34,best
321628,10,22,first
309973,4,33,best
324023,11,21,first
321286,3,30,best
310691,6,24,first
322818,34,17,best
306301,12,19,first
320434,7,24,best
321723,30,17,best
321818,34,15,first
322864,4,31,best
323353,6,33,best
310332,37,17,best
307195,19,13,first
306477,10,18,first
324815,1,33,first
339240,18,22,best
321193,22,12,first
309547,3,32,best
321358,13,19,best
294106,1,37,best
336582,38,10,best
321522,30,12,first
339319,19,21,best
307092,10,25,best
324101,12,18,first
322672,16,21,first
321018,15,22,best
320553,2,26,first
337853,36,11,first
337838,2,32,best
321037,9,23,best
322323,20,21,best
323910,5,33,best
324131,38,13,first
291645,4,24,first
324417,12,25,best
310408,11,25,first
324775,8,33,best
277868,3,26,first
324753,14,20,first
322874,20,14,first
341014,8,25,first
306810,28,17,first
338014,34,13,first
305874,8,23,first
371159,39,16,best
306933,29,14,first
336346,17,22,best
325381,3,31,best
321944,9,24,best
323546,27,14,best
322651,4,28,best
370645,37,15,first
340267,18,21,first
321147,5,27,best
322138,14,19,best
264046,2,30,first
308335,7,25,first
306496,13,22,first
322546,40,11,first
322335,33,16,first
339479,19,20,best
322004,37,10,best
322321,24,17,first
321775,37,13,first
321648,31,17,first
321508,21,17,first
324702,38,15,best
323331,17,21,first
337716,21,20,best
322645,2,33,first
338500,31,15,best
307711,23,20,best
321719,32,12,first
323267,36,16,first
324490,4,32,best
322897,34,14,best
337643,14,18,first
340735,13,21,first
323488,38,17,best
322341,4,30,best
308161,9,33,best
323123,28,14,first
322670,3,29,best
311033,1,32,first
306639,2,29,first
293791,3,33,first
324879,39,10,best
338299,13,20,first
324030,32,11,first
323002,23,16,first
305857,4,29,best
307262,2,27,first
320716,14,22,best
339721,34,10,first
338206,36,10,first
339494,2,31,first
307090,3,27,first
309137,12,20,first
338027,5,31,best
322599,34,12,best
322080,27,12,first
323654,7,33,best
321331,12,22,first
323143,17,19,best
323151,24,20,best
309538,21,21,best
308041,17,18,best
309854,18,20,best
338462,33,15,first
322707,10,24,best
352827,39,11,first
336620,35,17,first
