Average RunTime,RandomWalkLength,RandomWalkStart,Improvement
385247,38,9,best
384200,22,13,first
384145,14,12,first
384117,19,12,best
367244,16,12,best
384142,18,11,best
384397,27,13,best
384709,21,15,best
348505,9,21,best
384269,32,7,first
366411,6,18,best
384857,29,13,best
384574,20,15,best
384669,10,21,best
384127,32,13,best
384262,18,16,first
384694,30,13,best
387253,26,13,best
387974,30,6,first
384371,14,17,best
367194,21,13,first
384901,21,14,best
388165,36,9,best
384057,3,25,best
384634,2,20,first
384554,26,8,first
384243,26,11,best
393984,40,3,first
384187,13,12,first
384434,27,11,best
384233,18,13,first
366826,18,14,best
384932,27,9,first
384373,18,12,best
388192,40,9,best
384176,20,12,best
400000,38,2,first
367866,8,21,best
384586,24,8,first
387997,31,11,best
384351,15,17,best
367532,3,20,best
384375,33,11,best
384438,7,19,best
365816,2,25,best
372514,23,15,best
388522,30,9,first
387589,25,14,best
384393,15,16,first
366823,6,19,best
366005,24,16,best
384463,25,15,best
384246,4,20,best
330586,2,24,best
384219,30,10,best
390706,39,7,first
384360,25,10,best
384487,3,23,best
400000,39,1,first
367155,15,15,first
384202,18,15,first
384290,15,12,first
367814,3,22,best
348297,7,21,first
366174,17,13,first
387942,35,9,first
367103,12,21,best
387786,24,15,best
370186,9,19,best
387230,34,9,best
390944,35,6,first
366850,5,19,first
384726,27,16,best
367365,1,26,best
384230,23,13,first
384571,16,14,first
384370,19,14,first
384224,2,23,first
335768,7,18,best
384251,23,11,best
368544,26,10,best
366973,12,17,first
384434,16,17,best
375840,22,9,first
367366,6,21,first
367786,5,22,best
366207,28,13,best
384396,17,16,first
367631,4,25,best
387432,19,15,best
384494,24,13,first
384350,27,10,best
384621,16,15,first
385040,29,11,best
384913,26,14,best
384626,4,23,best
391086,38,9,first
393757,37,5,first
384431,19,12,first
384582,5,18,best
366822,29,16,best
388252,34,11,best
384466,18,10,first
348733,6,23,best
384581,26,15,best
384442,23,14,best
365426,1,24,first
332317,23,17,best
384386,29,15,best
367765,5,20,best
367191,28,16,best
384115,27,13,first
384289,20,15,first
366806,4,22,best
384118,13,17,first
384281,25,16,first
384442,24,14,best
387930,20,16,first
368026,26,16,best
384351,17,12,first
366027,4,18,first
367820,16,12,first
366637,6,18,first
384716,25,13,first
384292,20,10,best
387730,27,15,best
384131,35,11,best
387997,30,11,best
387729,22,10,first
384686,6,22,best
391032,33,13,best
384178,7,22,best
387906,22,15,first
366858,8,19,best
367005,1,25,first
384763,34,13,best
387718,36,13,best
387825,24,10,first
393838,37,7,first
332214,8,21,first
348914,9,22,best
384959,32,13,first
384464,28,10,best
367659,5,25,best
367711,29,13,first
365428,34,16,best
349346,4,20,first
385019,20,17,best
387385,25,14,first
370650,14,17,first
384687,2,25,first
365692,1,26,first
384722,40,9,first
400000,35,2,best
387726,29,10,best
387998,30,13,first
384430,23,15,first
384302,6,20,best
384589,21,16,first
384408,8,20,best
384570,26,11,first
384175,7,19,first
384670,25,15,first
384623,9,21,first
384085,26,12,best
384644,35,7,first
384267,19,13,best
384358,3,25,first
387875,40,13,best
390926,31,11,first
350313,10,19,best
387502,25,11,first
384596,22,16,first
384752,10,20,best
330511,2,24,first
387630,26,10,first
370770,3,23,first
384658,11,21,best
384906,36,9,first
384496,20,12,first
385290,37,9,first
367796,11,20,best
384446,30,10,first
365878,2,22,first
366816,30,15,best
387355,28,15,best
384488,22,12,best
384353,3,22,first
365605,26,15,first
384416,18,17,best
348133,9,20,best
390914,33,11,first
384514,32,9,best
348819,1,27,best
384197,4,25,first
384437,15,17,first
368278,19,17,best
365841,7,18,first
384743,12,21,first
384070,4,23,first
369394,26,14,first
333906,1,29,best
384998,25,10,first
384296,18,11,first
384267,21,14,first
384299,25,17,best
384900,37,11,best
371138,13,21,best
384446,23,12,best
367715,14,21,best
367007,28,13,first
367056,10,21,first
366934,9,19,first
384523,5,23,best
384326,5,21,first
384646,39,13,best
368102,17,14,best
385010,26,13,first
384678,18,12,first
366154,27,11,first
366353,24,16,first
384924,23,14,first
384698,14,15,first
384533,21,17,best
384533,33,10,best
